Agency Name,Indicator Name,Period,Monthly Actual
Metro-North Railroad,Total Ridership,2009-11,6485758
Metro-North Railroad,Total Ridership,2009-10,6952772
Metro-North Railroad,Total Ridership,2009-09,6670065
Metro-North Railroad,Total Ridership,2009-08,6551798
Metro-North Railroad,Total Ridership,2009-07,7000919
Metro-North Railroad,Total Ridership,2009-06,7034778
Metro-North Railroad,Total Ridership,2009-05,6542782
Metro-North Railroad,Total Ridership,2009-04,6765029
Metro-North Railroad,Total Ridership,2009-03,6762519
Metro-North Railroad,Total Ridership,2009-02,5877056
Metro-North Railroad,Total Ridership,2009-01,6332765
Metro-North Railroad,Total Ridership,2008-12,7165229
Metro-North Railroad,Total Ridership,2008-11,6510977
Metro-North Railroad,Total Ridership,2008-10,7509521
Metro-North Railroad,Total Ridership,2008-09,7007148
Metro-North Railroad,Total Ridership,2008-08,7005789
Metro-North Railroad,Total Ridership,2008-07,7489563
Metro-North Railroad,Total Ridership,2008-06,7194263
Metro-North Railroad,Total Ridership,2008-05,7022684
Metro-North Railroad,Total Ridership,2008-04,6958640
Metro-North Railroad,Total Ridership,2008-03,6771486
Metro-North Railroad,Total Ridership,2008-02,6301485
Metro-North Railroad,Total Ridership,2008-01,6618443
MTA Bus,Total Ridership - MTA Bus,2018-07,9978075
MTA Bus,Total Ridership - MTA Bus,2018-06,10121363
MTA Bus,Total Ridership - MTA Bus,2018-05,11008565
MTA Bus,Total Ridership - MTA Bus,2018-04,10145682
MTA Bus,Total Ridership - MTA Bus,2018-03,10383080
MTA Bus,Total Ridership - MTA Bus,2018-02,9153053
MTA Bus,Total Ridership - MTA Bus,2018-01,9378094
MTA Bus,Total Ridership - MTA Bus,2017-12,9592517
MTA Bus,Total Ridership - MTA Bus,2017-11,10230691
MTA Bus,Total Ridership - MTA Bus,2017-10,10879804
MTA Bus,Total Ridership - MTA Bus,2017-09,10293093
MTA Bus,Total Ridership - MTA Bus,2017-08,10182683
MTA Bus,Total Ridership - MTA Bus,2017-07,9835319
MTA Bus,Total Ridership - MTA Bus,2017-06,10415892
MTA Bus,Total Ridership - MTA Bus,2017-05,10948781.97
MTA Bus,Total Ridership - MTA Bus,2017-04,9868714
MTA Bus,Total Ridership - MTA Bus,2017-03,10774447
MTA Bus,Total Ridership - MTA Bus,2017-02,9289269.8
MTA Bus,Total Ridership - MTA Bus,2017-01,9840105
MTA Bus,Total Ridership - MTA Bus,2016-12,10102793
MTA Bus,Total Ridership - MTA Bus,2016-11,10414870
MTA Bus,Total Ridership - MTA Bus,2016-10,10831627
MTA Bus,Total Ridership - MTA Bus,2016-09,10898004
MTA Bus,Total Ridership - MTA Bus,2016-08,10491025
MTA Bus,Total Ridership - MTA Bus,2016-07,10002577
MTA Bus,Total Ridership - MTA Bus,2016-06,10778433
MTA Bus,Total Ridership - MTA Bus,2016-05,11022447
MTA Bus,Total Ridership - MTA Bus,2016-04,10566032
MTA Bus,Total Ridership - MTA Bus,2016-03,11393621
MTA Bus,Total Ridership - MTA Bus,2016-02,9650946
MTA Bus,Total Ridership - MTA Bus,2016-01,9464783
MTA Bus,Total Ridership - MTA Bus,2015-12,10524956
MTA Bus,Total Ridership - MTA Bus,2015-11,10324241
MTA Bus,Total Ridership - MTA Bus,2015-10,11279854
MTA Bus,Total Ridership - MTA Bus,2015-09,10570651
MTA Bus,Total Ridership - MTA Bus,2015-08,10055139
MTA Bus,Total Ridership - MTA Bus,2015-07,10401103
MTA Bus,Total Ridership - MTA Bus,2015-06,10590096
MTA Bus,Total Ridership - MTA Bus,2015-05,10877950
MTA Bus,Total Ridership - MTA Bus,2015-04,10675874
MTA Bus,Total Ridership - MTA Bus,2015-03,10970259
MTA Bus,Total Ridership - MTA Bus,2015-02,9074682
MTA Bus,Total Ridership - MTA Bus,2015-01,9457874
MTA Bus,Total Ridership - MTA Bus,2014-12,10489370
MTA Bus,Total Ridership - MTA Bus,2014-11,10220982
MTA Bus,Total Ridership - MTA Bus,2014-10,11810454
MTA Bus,Total Ridership - MTA Bus,2014-09,11104725
MTA Bus,Total Ridership - MTA Bus,2014-08,10037289
MTA Bus,Total Ridership - MTA Bus,2014-07,10389661
MTA Bus,Total Ridership - MTA Bus,2014-06,10555276
MTA Bus,Total Ridership - MTA Bus,2014-05,11187051
MTA Bus,Total Ridership - MTA Bus,2014-04,10558780
MTA Bus,Total Ridership - MTA Bus,2014-03,10799880
MTA Bus,Total Ridership - MTA Bus,2014-02,8990398.57
MTA Bus,Total Ridership - MTA Bus,2014-01,9437370
MTA Bus,Total Ridership - MTA Bus,2013-12,9943284
MTA Bus,Total Ridership - MTA Bus,2013-11,10155709
MTA Bus,Total Ridership - MTA Bus,2013-10,11613627
MTA Bus,Total Ridership - MTA Bus,2013-09,10508842
MTA Bus,Total Ridership - MTA Bus,2013-08,9914400
MTA Bus,Total Ridership - MTA Bus,2013-07,10041752
MTA Bus,Total Ridership - MTA Bus,2013-06,10023008
MTA Bus,Total Ridership - MTA Bus,2013-05,11238753
MTA Bus,Total Ridership - MTA Bus,2013-04,11047687
MTA Bus,Total Ridership - MTA Bus,2013-03,10539798
MTA Bus,Total Ridership - MTA Bus,2013-02,9627674
MTA Bus,Total Ridership - MTA Bus,2013-01,10296651
